Time,FP1,FP2,C3,C4,O1,O2,SPR1,SPR2,ECG1,ECG2
0.305,251.708,185.168,87.398,63.150,158.184,-136.205,-183.908,-372.206,6.192,-154.814
0.310,366.097,311.027,147.674,56.547,199.282,-87.203,-185.468,-413.128,18.415,-166.270
0.315,433.514,418.263,105.518,21.539,114.606,-132.506,-184.898,-426.942,18.879,-165.027
0.320,521.649,447.866,70.330,-36.064,38.812,-149.555,-184.692,-341.543,15.774,-134.533
0.325,564.243,381.531,160.013,-12.778,26.785,-162.540,-184.260,-339.100,8.086,-101.779
0.330,567.394,323.234,97.049,-20.399,-83.915,-185.539,-185.179,-441.064,12.167,-89.576
0.335,573.860,364.890,4.798,23.534,-124.455,-163.367,-185.454,-431.221,7.767,-115.948
0.340,-183.704,-252.926,774.401,83.160,-428.043,-464.267,-184.083,-398.433,17.450,-113.059
0.345,-4087.376,-3837.711,3137.895,-479.332,-2811.356,-2553.445,-185.608,-377.856,11.672,-88.385
0.350,-4720.794,-4573.743,3392.435,-832.557,-3494.274,-3111.404,-182.199,-393.053,-3.792,-79.095
0.355,-3744.470,-3688.713,3379.622,-643.169,-2904.545,-2482.659,-184.517,-399.532,0.440,-72.800
0.360,-1965.716,-2025.526,2490.343,-401.878,-1711.498,-1433.742,-183.560,-409.195,13.270,-20.651
0.365,824.360,523.191,1069.182,133.227,174.397,104.705,-185.369,-413.781,26.252,63.018
0.370,1666.160,1388.736,679.137,489.724,1009.640,734.050,-185.150,-380.512,35.207,163.960
0.375,569.929,431.004,981.067,377.799,260.967,129.471,-183.893,-375.113,0.808,279.531
0.380,345.516,174.811,855.701,335.403,-32.657,-94.754,-184.088,-403.896,-74.837,438.304
0.385,1254.876,1015.120,252.761,452.789,570.370,397.215,-183.217,-443.060,-165.384,518.238
0.390,1531.803,1307.672,94.816,498.782,852.908,635.235,-183.049,-381.291,-180.974,355.008
0.395,909.999,781.238,341.613,415.650,570.022,389.113,-182.854,-372.453,-168.411,-128.064
0.400,680.541,537.432,272.819,301.790,408.291,241.202,-182.157,-413.861,-73.804,-363.027
0.405,1003.116,926.237,-195.008,376.561,565.519,484.343,-183.088,-465.428,25.048,-459.463
0.410,1046.410,1108.619,-354.357,349.419,559.433,558.683,-182.681,-414.553,74.319,-352.233
0.415,836.120,937.504,-258.863,259.391,407.438,407.635,-182.957,-391.879,81.795,-122.642
0.420,748.995,834.708,-287.146,159.570,380.982,325.215,-184.117,-406.490,57.366,-48.396
0.425,782.290,914.415,-325.005,139.963,450.035,422.059,-184.683,-436.999,29.338,-113.777
0.430,810.934,982.724,-321.584,234.706,471.936,513.272,-184.732,-424.311,14.123,-86.076
0.435,821.439,913.585,-346.235,207.894,454.662,476.336,-185.279,-383.243,-10.235,8.046
0.440,777.555,830.406,-322.001,166.975,427.078,382.160,-185.224,-383.024,2.656,-9.269
0.445,679.991,691.728,-345.261,81.748,255.625,288.913,-183.925,-399.162,27.271,-56.561
0.450,680.311,575.797,-388.419,61.827,112.440,193.462,-182.308,-420.973,22.558,-47.451
0.455,775.086,584.854,-426.576,56.959,183.507,236.526,-180.716,-382.153,12.471,-7.885
0.460,766.810,639.103,-457.843,88.322,260.432,241.305,-179.233,-366.464,20.408,-0.713
0.465,632.178,591.633,-404.628,127.617,209.949,131.916,-177.743,-369.720,15.588,-10.985
0.470,596.200,573.469,-394.020,116.696,266.448,156.624,-177.972,-422.970,16.697,-12.444
0.475,694.651,713.132,-479.221,139.918,413.650,279.867,-177.356,-390.405,14.130,15.253
0.480,683.549,756.095,-459.715,126.718,406.448,258.414,-176.345,-356.364,13.436,21.001
0.485,492.666,603.644,-360.833,60.083,236.991,104.422,-176.729,-353.321,15.185,-14.918
0.490,400.564,502.067,-319.207,64.370,293.802,82.268,-175.724,-408.911,41.500,7.607
0.495,454.339,569.114,-427.415,122.716,422.088,140.761,-175.522,-399.917,24.514,3.841
0.500,499.173,512.141,-384.102,136.624,383.767,165.509,-176.213,-355.633,30.198,24.648
0.505,378.627,286.707,-183.059,67.953,327.187,162.846,-174.602,-344.122,4.220,39.286
0.510,302.351,229.097,-130.404,39.524,289.393,195.361,-175.005,-376.441,18.266,61.210
0.515,351.086,313.253,-251.838,34.750,303.573,261.713,-175.290,-413.428,21.907,35.548
0.520,280.416,361.875,-309.509,15.752,381.814,343.987,-174.978,-441.447,20.732,73.577
0.525,154.032,364.496,-259.570,-57.163,317.749,342.852,-175.639,-371.839,12.852,78.808
0.530,142.271,331.468,-223.229,-149.919,274.774,256.509,-176.706,-378.364,17.498,87.846
0.535,325.533,335.970,-200.299,-169.590,247.327,253.727,-176.256,-381.734,25.418,98.053
0.540,393.605,306.077,-247.372,-135.723,213.900,324.078,-175.552,-374.784,26.120,105.059
0.545,323.412,232.368,-254.021,-104.946,271.374,276.719,-174.995,-361.099,21.107,139.825
0.550,302.382,278.814,-278.116,-63.919,181.613,240.590,-175.405,-366.301,11.671,142.039
0.555,266.136,465.733,-287.420,-98.324,96.119,275.358,-174.966,-398.205,21.075,147.924
0.560,238.840,489.690,-253.236,-163.702,19.648,245.391,-175.619,-444.731,33.617,189.592
0.565,269.066,400.829,-208.136,-168.773,-3.677,161.872,-175.060,-379.999,39.217,216.636
0.570,289.431,358.105,-263.469,-155.951,57.145,182.991,-174.533,-344.905,40.235,253.586
0.575,255.832,393.580,-260.933,-117.623,96.061,275.289,-174.925,-350.501,34.464,240.901
0.580,263.177,416.202,-197.082,-99.620,101.357,269.034,-175.336,-384.914,46.597,276.387
0.585,196.057,421.716,-206.083,-67.967,-58.577,306.101,-175.919,-371.677,48.832,294.234
0.590,126.154,323.986,-159.485,-46.342,-169.365,306.626,-174.774,-290.192,53.242,306.140
0.595,37.615,335.241,-200.844,-34.111,-209.396,204.307,-176.050,-379.230,61.977,294.837
0.600,-19.789,337.249,-366.731,3.028,-230.653,129.140,-176.811,-413.178,66.297,305.598
0.605,18.258,308.982,-442.124,35.193,-176.496,68.313,-176.811,-368.687,67.083,301.666
0.610,37.934,324.784,-540.513,21.632,-124.932,8.458,-177.198,-364.011,46.829,313.261
0.615,-13.753,294.823,-563.944,-19.840,-142.567,-15.497,-177.140,-363.183,47.783,290.830
0.620,-111.407,265.707,-468.904,-44.458,-154.859,32.835,-176.807,-364.671,42.127,268.370
0.625,-128.260,334.043,-347.325,-74.853,-188.877,62.196,-176.902,-371.269,33.308,236.091
0.630,-107.570,348.332,-294.308,-121.057,-115.200,51.310,-176.342,-409.764,35.894,187.116
0.635,-21.813,307.814,-278.955,-72.887,-105.392,44.005,-176.226,-357.620,22.968,143.010
0.640,13.383,184.977,-299.815,70.712,-244.107,-4.584,-176.544,-345.895,23.509,114.709
0.645,-13.960,114.264,-393.581,83.811,-391.282,-34.891,-176.669,-366.905,27.547,95.316
0.650,17.353,111.577,-508.544,16.904,-411.111,-140.582,-178.211,-421.185,-32.916,27.264
0.655,75.957,80.684,-497.089,-25.044,-366.376,-236.207,-178.087,-367.872,18.880,38.228
0.660,69.180,64.897,-498.158,-40.578,-278.338,-204.657,-176.161,-331.868,-20.009,1.921
0.665,124.056,125.174,-452.146,21.022,-240.513,-222.592,-176.278,-362.282,-20.276,-2.548
0.670,160.152,139.672,-413.337,75.930,-320.591,-277.503,-175.859,-409.502,10.832,3.675
0.675,142.513,171.680,-465.359,28.960,-363.200,-288.080,-175.754,-385.880,-10.801,-44.360
0.680,139.697,246.753,-408.843,-33.033,-278.749,-325.202,-176.119,-336.671,-18.889,-35.025
0.685,18.960,295.754,-311.023,-77.512,-166.423,-293.532,-176.211,-356.781,-10.686,-52.370
0.690,-71.178,306.727,-277.308,-47.351,-172.413,-242.439,-175.903,-383.828,17.666,-67.089
0.695,1.137,282.254,-260.532,25.365,-155.161,-180.890,-177.499,-396.552,14.293,-53.396
0.700,80.458,309.496,-241.007,-29.425,-152.584,-139.432,-176.914,-348.815,-0.798,-68.338
0.705,50.131,271.942,-254.334,-58.613,-208.673,-123.234,-178.405,-343.892,12.404,-67.856
0.710,73.037,244.483,-218.052,-46.410,-210.394,-146.149,-177.073,-359.214,-17.764,-81.476
0.715,77.336,240.633,-146.747,-18.318,-222.999,-152.354,-176.847,-403.609,-9.526,-50.012
0.720,58.505,241.664,-220.205,21.745,-268.846,-129.431,-176.939,-363.274,-31.282,-86.580
0.725,10.733,224.103,-272.252,-20.820,-248.111,-133.909,-177.105,-337.115,0.302,-69.274
0.730,-35.405,210.678,-212.656,-102.909,-265.964,-148.080,-177.886,-342.601,37.200,-16.226
0.735,-126.298,105.025,-231.300,-133.672,-251.946,-151.420,-176.935,-388.901,-15.586,-60.092
0.740,-97.358,76.194,-191.774,-124.454,-282.480,-147.490,-177.257,-376.325,15.887,-57.401
0.745,18.062,72.542,-210.800,-84.118,-366.147,-189.910,-175.360,-338.471,2.864,-74.275
0.750,23.651,58.297,-279.182,-71.068,-346.022,-132.042,-175.118,-329.396,-7.045,-76.546
0.755,31.978,68.050,-102.510,-4.624,-198.757,-33.029,-174.725,-359.306,-10.536,-31.396
0.760,142.281,55.640,-37.647,-25.888,-105.037,-142.838,-174.898,-396.466,11.353,-45.444
0.765,158.998,104.078,-157.162,-75.729,-153.401,-217.630,-176.037,-351.120,-17.296,-53.591
0.770,192.678,151.248,-177.586,-51.518,-201.365,-231.308,-175.086,-318.863,-17.114,-68.198
0.775,199.482,228.683,-153.907,-36.905,-185.562,-235.248,-175.158,-337.447,-0.952,-38.708
0.780,116.072,166.367,-154.840,-61.888,-174.742,-244.571,-175.767,-406.398,2.658,-47.489
0.785,131.652,105.296,-72.413,-4.989,-99.912,-161.383,-174.850,-361.525,-14.769,-45.996
0.790,226.207,92.026,14.591,37.616,-127.647,-143.134,-176.187,-381.872,-28.379,-48.079
0.795,315.474,78.930,-9.725,-20.325,-133.930,-157.717,-175.136,-308.002,-10.996,-55.303
0.800,302.707,136.098,-115.575,-16.919,-114.235,-120.140,-175.018,-326.604,8.896,-42.369
0.805,307.955,208.012,-190.210,6.009,-50.024,-36.391,-176.555,-387.673,-16.736,-37.373
0.810,274.435,195.957,-255.944,-33.649,21.517,-7.289,-176.650,-362.019,-15.692,-49.688
0.815,232.520,162.837,-290.895,-80.200,-26.292,-85.653,-178.203,-334.950,-23.317,-56.203
0.820,212.145,159.369,-239.834,-79.197,-34.067,-91.293,-178.129,-337.389,-13.867,-58.374
0.825,223.110,127.534,-77.206,-76.335,39.034,-28.425,-177.842,-439.633,-2.592,-43.608
0.830,178.882,77.241,-48.287,-58.562,7.559,81.847,-177.897,-360.678,-1.314,-33.912
0.835,148.343,65.007,-88.301,-18.931,-11.558,111.049,-178.955,-314.171,-2.825,-51.160
0.840,201.165,5.477,-19.381,-30.497,-26.245,40.480,-178.917,-337.062,-19.088,-53.893
0.845,217.843,-78.455,37.190,-38.362,51.953,-33.277,-179.048,-375.503,-8.596,-34.990
0.850,176.050,-62.324,40.662,-23.392,191.964,-38.673,-178.236,-349.600,-4.464,-66.581
0.855,120.590,35.974,49.172,23.731,223.026,60.697,-178.115,-367.419,-2.273,-63.033
0.860,60.341,123.951,27.794,33.963,94.737,130.767,-177.806,-348.845,-11.914,-60.135
0.865,73.889,90.314,-36.759,23.786,-27.149,109.998,-177.913,-333.563,-1.949,-65.836
0.870,190.721,44.566,-21.552,55.034,-71.305,49.405,-178.992,-343.812,-4.868,-67.722
0.875,272.566,-11.608,107.293,7.799,-57.180,3.928,-178.063,-380.774,6.478,-66.676
0.880,265.460,-27.200,161.679,-4.812,-35.986,12.787,-178.176,-364.352,-10.417,-61.415
0.885,203.163,-80.173,274.245,70.094,-31.586,46.180,-177.958,-320.866,7.436,-54.120
0.890,236.781,-19.909,270.253,66.457,-46.435,73.218,-177.851,-332.367,-11.236,-74.858
0.895,352.363,174.538,140.988,68.240,-74.467,96.119,-178.026,-367.220,-3.397,-68.357
0.900,482.771,333.962,98.564,83.907,-44.768,171.766,-177.284,-383.221,34.183,-71.362
0.905,515.991,403.163,103.713,61.953,-29.295,105.610,-177.987,-325.310,-9.661,-78.815
0.910,602.378,399.630,245.882,17.763,-72.001,0.540,-176.772,-321.022,16.853,-54.306
0.915,564.577,276.576,288.657,-9.262,-141.463,3.909,-177.166,-348.472,-2.631,-71.697
0.920,542.639,196.605,293.447,18.237,-126.243,-33.385,-178.013,-389.523,-16.566,-84.018
0.925,550.659,216.058,377.578,50.523,-56.136,-77.950,-178.546,-333.828,-11.496,-90.324
0.930,440.869,272.434,388.070,100.648,-48.766,-78.475,-178.002,-315.243,1.249,-74.647
0.935,301.801,271.386,394.439,152.619,-74.562,-81.918,-178.522,-335.022,-1.818,-70.486
0.940,207.582,142.481,326.919,137.824,-59.702,-100.954,-177.151,-373.700,-14.722,-70.098
